ALGORITHM,PARAMS,TP,TN,FP,FN,PRECISION,RECALL,F1_SCORE,ADJUSTED_RAND_SCORE,HOMOGENEITY_SCORE,COMPLETENESS_SCORE,V_MEASURE_SCORE,FOWLKES_MALLOWS_SCORE
K-means,algorithm=full,470,1064,17908,446,0.02557405593644575,0.5131004366812227,0.048719809267129675,0.3005270716763203,0.16436990841633337,0.11423211729510975,0.13478956306978376,0.9200483182708389
K-means,algorithm=elkan,446,17909,1063,470,0.29555997349237906,0.4868995633187773,0.3678350515463917,0.3007034079550832,0.16445723117791636,0.11434628445305968,0.13489839462084108,0.9200988643984069
GMM,covariance_type=full,613,16119,2853,303,0.1768609347951529,0.6692139737991266,0.2797809219534459,0.17866668446659428,0.15797325183355176,0.06376964686256058,0.09086106966574588,0.8420088242233809
GMM,covariance_type=tied,583,783,18189,333,0.031056893245258895,0.6364628820960698,0.05922389272653393,0.2697247342945669,0.11731838136139719,0.10136094981247178,0.10875744407502538,0.9292118086070456
GMM,covariance_type=spherical,700,14350,4622,216,0.13152950018789927,0.7641921397379913,0.22443090734209684,0.10411834680389856,0.13950818724433936,0.044850712760783035,0.0678789213181414,0.7734258351242651
CustomAlgorithm,alpha=0.0,700,14350,4622,216,0.13152950018789927,0.7641921397379913,0.22443090734209684,0.10411834680389856,0.13950818724433936,0.044850712760783035,0.0678789213181414,0.7734258351242651
CustomAlgorithm,alpha=0.1,629,16273,2699,287,0.18900240384615385,0.6866812227074236,0.2964184731385485,0.19639706741482071,0.1756124538637646,0.0726109528370658,0.10274121828060906,0.8495752989978209
CustomAlgorithm,alpha=0.2,529,17233,1739,387,0.23324514991181658,0.5775109170305677,0.332286432160804,0.24951713647053203,0.1673606403131025,0.08806712509218684,0.11540617303350745,0.8903225059910004
CustomAlgorithm,alpha=0.30000000000000004,428,17682,1290,488,0.24912689173457508,0.4672489082969432,0.32498101746393315,0.2530490893916548,0.1354005056479762,0.08597603840761042,0.10517102544592279,0.9079064866591678
CustomAlgorithm,alpha=0.4,374,17974,998,542,0.2725947521865889,0.40829694323144106,0.3269230769230769,0.2625830578509019,0.12447400868161113,0.09260348578654132,0.10619919049629983,0.9201319117767789
CustomAlgorithm,alpha=0.5,326,18172,800,590,0.2895204262877442,0.3558951965065502,0.3192948090107738,0.26095956289706473,0.1116461030582147,0.09583198847868049,0.10313636473817081,0.9280297813718699
CustomAlgorithm,alpha=0.6000000000000001,282,18313,659,634,0.29968119022316686,0.3078602620087336,0.3037156704361874,0.2503773422692777,0.09750619330678106,0.09556566866678777,0.0965261790844618,0.9332702570747659
CustomAlgorithm,alpha=0.7000000000000001,248,18437,535,668,0.3167305236270754,0.27074235807860264,0.2919364331959977,0.2433773064505499,0.08851467627312709,0.0996108233933983,0.09373550955713597,0.9381276495115476
CustomAlgorithm,alpha=0.8,228,18537,435,688,0.3438914027149321,0.24890829694323144,0.2887903736542115,0.2442672190195234,0.08629545416552101,0.11025772864019344,0.09681594194960695,0.9424025539434177
CustomAlgorithm,alpha=0.9,207,18606,366,709,0.3612565445026178,0.2259825327510917,0.2780389523169913,0.23685063257582192,0.08081911571786432,0.11557299983337346,0.09512100443724004,0.9450435128148585
